Movie Name,Total Cast,Genre
Inside Llewyn Davis,"('Adam Driver', 'Alex Karpovsky', 'Antonio E. Moreno', 'Bradley Mott', 'Carey Mulligan', 'Ethan Phillips', 'F. Murray Abraham', 'Frank Ridley', 'Garrett Hedlund', 'Genevieve Adams', 'Helen Hong', 'Jake Ryan', 'James Colby', 'Jeanine Serralles', 'Jerry Grayson', 'Joel Brody', 'John Goodman', 'Justin Timberlake', 'Max Casella', 'Mike Houston', 'Oscar Isaac', 'Ricardo Cordero', 'Robin Bartlett', 'Stark Sands', 'Carey Mulligan', 'Garrett Hedlund', 'John Goodman', 'Justin Timberlake', 'Oscar Isaac')","['Drama', 'Music']"
Sherpa,(),['Documentary']
There Will Be Blood,"('Barry Del Sherman', 'Coco Leigh', 'Dillon Freasier', 'Erica Sullivan', 'Harrison Taylor', 'Jacob Stringer', 'Jim Meskimen', 'Joseph Mussey', 'Kevin Breznahan', 'Martin Stringer', 'Matthew Braden Stringer', 'Paul F. Tompkins', 'Randall Carver', 'Stockton Taylor', 'Daniel Day-Lewis')","['Drama', 'Thriller']"
Badlands,"('Alan Vint', 'Ben Bravo', 'Bryan Montgomery', 'Charles Fitzpatrick', 'Dona Baldwin', 'Emilio Estevez', 'Gail Threlkeld', 'Gary Littlejohn', 'Howard Ragsdale', 'John Carter', 'John Womack Jr.', 'Ramon Bieri', 'Warren Oates', 'Martin Sheen', 'Sissy Spacek')","['Drama', 'Crime']"
The Last Picture Show,"('Barc Doyle', 'Bill Thurman', 'Jessie Lee Fulton', 'Joe Heathcock', 'Randy Quaid', 'Ben Johnson', 'Cloris Leachman', 'Clu Gulager', 'Cybill Shepherd', 'Eileen Brennan', 'Ellen Burstyn', 'Jeff Bridges', 'Sam Bottoms', 'Sharon Ullrick', 'Timothy Bottoms')",['Drama']
Do the Right Thing,"('Bill Nunn', 'Frankie Faison', 'Giancarlo Esposito', 'John Savage', 'John Turturro', 'Joie Lee', 'Miguel Sandoval', 'Paul Benjamin', 'Richard Edson', 'Rick Aiello', 'Robin Harris', 'Spike Lee', 'Danny Aiello', 'Ossie Davis', 'Ruby Dee')","['Drama', 'Comedy']"
Sita Sings the Blues,"('Aladdin Ullah', 'Annette Hanshaw', 'Aseem Chhabra', 'Bhavana Nagulapally', 'Debargo Sanyal', 'Deepti Gupta', 'Manish Acharya', 'Nina Paley', 'Nitya Vidyasagar', 'Pooja Kumar', 'Reena Shah', 'Sanjiv Jhaveri')","['Fantasy', 'Comedy', 'Romance', 'Animation', 'Musical']"
The Decline of Western Civilization,"('Bill Gazzarri', 'Fear', 'Frank Gargani', 'John Doe', 'Lorna Doom', 'Alice Bag', 'Alice Bag Band', 'Black Flag', 'Circle Jerks', 'Claude Bessy', 'Darby Crash', 'Dinah Cancer', 'Don Bolles', 'Exene Cervenka', 'Philo Cramer')","['History', 'Music', 'Documentary']"
Yojimbo,"('Atsushi Watanabe', 'Ikio Sawamura', 'Kamatari Fujiwara', 'Kyû Sazanka', 'Susumu Fujita', 'Daisuke Katô', 'Eijirô Tôno', 'Hiroshi Tachikawa', 'Isuzu Yamada', 'Seizaburô Kawazu', 'Takashi Shimura', 'Tatsuya Nakadai', 'Toshirô Mifune', 'Yôko Tsukasa', 'Yôsuke Natsuki')","['Action', 'Drama', 'Thriller']"
Rio Bravo,"('Frank Balderrama', 'Fred Aldrich', 'Harry Carey Jr.', 'Malcolm Atterbury', 'Sheb Wooley', 'Angie Dickinson', 'Claude Akins', 'Dean Martin', 'Estelita Rodriguez', 'John Russell', 'John Wayne', 'Pedro Gonzalez Gonzalez', 'Ricky Nelson', 'Walter Brennan', 'Ward Bond')","['Action', 'Drama', 'Western']"
Brother's Keeper,"('Connie Chung', 'Donald F. Cerio', 'John W. Graham', 'Maynard A. Cosnett', 'Robert J. Killough', 'Dave Goff', 'Delbert Ward', 'Harry Thurston', 'John Teeple', 'Joseph F. Loszynski', 'Ken Elmer', 'Lyman Ward', 'Ralph A. Cognetti', 'Roscoe Ward', 'Walt Geisler')","['Mystery', 'Crime', 'Documentary']"
Sankofa,"('Jim Faircloth', 'John A. Mason', 'Louise Reid', 'Roger Doctor', 'Stanley Michelson', 'Afemo Omilami', 'Alexandra Duah', 'Hasinatu Camara', 'Jimmy Lee Savage', 'Kofi Ghanaba', 'Mutabaruka', 'Mzuri', 'Nick Medley', 'Oyafunmike Ogunlano', 'Reggie Carter')",['Drama']
Crumb,"('Aline Kominsky', 'Beatrice Crumb', 'Bill Griffith', 'Charles Crumb', 'Dana Morgan', 'Deirdre English', 'Don Donahue', 'Kathy Goodell', 'Martin Müller', 'Maxon Crumb', 'Peggy Orenstein', 'Robert Hughes', 'Spain Rodriguez', 'Trina Robbins', 'Robert Crumb')","['Biography', 'Documentary']"
Spotlight,"('Billy Crudup', ""Brian d'Arcy James"", 'Christopher Gallagher', 'Dallas Peplow', 'Doug Murray', 'Duane Murray', 'Elena Juatco', 'Elena Wohl', 'Faith Fay', 'Gary Galone', 'Gene Amoroso', 'Jamey Sheridan', 'John Slattery', 'Lana Antonova', 'Len Cariou', 'Liev Schreiber', 'London Hall', 'Mark Ruffalo', 'Michael Cyril Creighton', 'Michael Keaton', 'Neal Huff', 'Paul Guilfoyle', 'Rachel McAdams', 'Rob deLeeuw', 'Robert B. Kennedy', 'Sharon McFarlane', 'Shawn Contois', 'Stanley Tucci', 'Stefanie Drummond', 'Zarrin Darnell-Martin', 'John Slattery', 'Liev Schreiber', 'Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Stanley Tucci')","['Biography', 'Drama', 'History', 'Thriller']"
The Band Wagon,"('Barbara Bailey', 'Brandon Beach', 'Ernest Anderson', 'Lysa Baugher', 'Patsy Bangs', 'Cyd Charisse', 'Fred Aldrich', 'Fred Astaire', 'India Adams', 'Jack Buchanan', 'James Mitchell', 'Nanette Fabray', 'Oscar Levant', 'Richard Alexander', 'Robert Gist')","['Comedy', 'Romance', 'Musical']"
One More Time with Feeling,"('Nick Cave', 'Nick Cave & the Bad Seeds', 'Nick Cave & The Bad Seeds', 'Warren Ellis')","['Music', 'Documentary']"
The Diving Bell and the Butterfly,"('Anne Consigny', 'Fiorella Campanella', 'Gérard Watkins', 'Isaach De Bankolé', 'Jean-Pierre Cassel', 'Marina Hands', 'Max von Sydow', 'Niels Arestrup', 'Olatz López Garmendia', 'Patrick Chesnais', 'Talina Boyaci', 'Théo Sampaio', 'Emmanuelle Seigner', 'Marie-Josée Croze', 'Mathieu Amalric')","['Biography', 'Drama']"
Invasion of the Body Snatchers,"('Beatrice Maude', 'Bobby Clark', 'Eileen Stevens', 'Guy Way', 'Jean Andren', 'Carolyn Jones', 'Dana Wynter', 'Jean Willes', 'Kenneth Patterson', 'Kevin McCarthy', 'King Donovan', 'Larry Gates', 'Ralph Dumke', 'Tom Fadden', 'Virginia Christine')","['Sci-Fi', 'Drama', 'Horror']"
The Class,"('Agame Malembo-Emene', 'Angélica Sancio', 'Arthur Fogel', 'Boubacar Toure', 'Burak Özyilmaz', 'Carl Nanor', 'Cherif Bounaïdja Rachedi', 'Dalla Doucoure', 'Damien Gomes', 'Esmeralda Ouertani', 'Eva Paradiso', 'Henriette Kasaruhanda', 'Juliette Demaille', 'Justine Wu', 'François Bégaudeau')",['Drama']
Platoon,"('Bob Orwig', 'Chris Pedersen', 'Corey Glover', 'Corkey Ford', 'David Neidorf', 'Forest Whitaker', 'Francesco Quinn', 'John C. McGinley', 'Johnny Depp', 'Keith David', 'Kevin Dillon', 'Mark Moses', 'Reggie Johnson', 'Tom Berenger', 'Willem Dafoe')","['Drama', 'War']"
35 Shots of Rum,"('Adèle Ado', 'Alex Descas', 'Cheikh Toure', 'David Saada', 'Djédjé Apali', 'Eriq Ebouaney', 'Grégoire Colin', 'Ingrid Caven', 'Jean-Christophe Folly', 'Julieth Mars Toussaint', 'Mario Canonge', 'Mary Pie', 'Mati Diop', 'Nicole Dogue', 'Stéphane Pocrain')",['Drama']
Apocalypse Now: Final Cut,(),"['Drama', 'Mystery', 'War']"
Chinatown,"('Bruce Glover', 'Darrell Zwerling', 'Diane Ladd', 'James Hong', ""James O'Rear"", 'Joe Mantell', 'John Hillerman', 'Nandu Hinds', 'Perry Lopez', 'Richard Bakalyan', 'Roman Polanski', 'Roy Jenson', 'Faye Dunaway', 'Jack Nicholson', 'John Huston')","['Drama', 'Mystery', 'Thriller', 'Crime']"
The Florida Project,"('Bria Vinaite', 'Bronwyn Valley', 'Brooklynn Prince', 'Caleb Landry Jones', 'Carl Bradfield', 'Christopher Rivera', 'Gary B. Gross', 'Jason Blackwater', 'Jim Coleman', 'Jim R. Coleman', 'Karren Karagulian', 'Kelly Fitzgerald', 'Krystal Nicole Watts', 'Macon Blair', 'Mela Murder', 'Rosa Medina Perez', 'Sabina Friedman-Seitz', 'Sandy Kane', 'Valeria Cotto', 'Willem Dafoe', 'Aiden Malik', 'Bria Vinaite', 'Brooklynn Prince', 'Caleb Landry Jones', 'Christopher Rivera', 'Edward Pagan', 'Jasineia Ramos', 'Jason Blackwater', 'Josie Olivo', 'Karren Karagulian', 'Macon Blair', 'Patti Wiley', 'Sandy Kane', 'Valeria Cotto', 'Willem Dafoe')",['Drama']
Timbuktu,"('Abel Jafri', 'Adel Mahmoud Cherif', 'Cheik A.G. Emakni', 'Fatoumata Diawara', 'Hichem Yacoubi', 'Ibrahim Ahmed', 'Kettly Noël', 'Layla Walet Mohamed', 'Mamby Kamissoko', 'Mehdi A.G. Mohamed', 'Pino Desperado', 'Salem Dendou', 'Toulou Kiki', 'Weli Cleib', 'Yoro Diakité', 'Zikra Oualet Moussa', 'Abel Jafri', 'Ibrahim Ahmed', 'Layla Walet Mohamed', 'Mehdi A.G. Mohamed', 'Toulou Kiki')",['Drama']
Frenzy,"('Elsie Randolph', 'Gerald Sim', 'Jean Marsh', 'John Boxer', 'Madge Ryan', 'Alec McCowen', 'Anna Massey', 'Barbara Leigh-Hunt', 'Barry Foster', 'Bernard Cribbins', 'Billie Whitelaw', 'Clive Swift', 'Jon Finch', 'Michael Bates', 'Vivien Merchant')",['Thriller']
Brief Encounter,"('Noel Coward', 'Nuna Davey', 'Sydney Bromley', 'Valentine Dyall', 'Wallace Bosco', 'Alfie Bass', 'Celia Johnson', 'Cyril Raymond', 'Everley Gregg', 'Joyce Carey', 'Margaret Barton', 'Marjorie Mars', 'Stanley Holloway', 'Trevor Howard', 'Wilfred Babbage')","['Drama', 'Romance']"
Cool Hand Luke,"('Dennis Hopper', 'Marc Cavell', 'Richard Davalos', 'Robert Donner', 'Warren Finnerty', 'Clifton James', 'George Kennedy', 'J.D. Cannon', 'Jo Van Fleet', 'Lou Antonio', 'Luke Askew', 'Morgan Woodward', 'Paul Newman', 'Robert Drivas', 'Strother Martin')","['Drama', 'Crime']"
Little Women,"('Harry Beresford', 'Mabel Colcord', 'Marion Ballou', 'Nydia Westman', 'Samuel S. Hinds', 'Douglass Montgomery', 'Edna May Oliver', 'Frances Dee', 'Henry Stephenson', 'Jean Parker', 'Joan Bennett', 'John Lodge', 'Katharine Hepburn', 'Paul Lukas', 'Spring Byington')","['Drama', 'Romance', 'Family']"
Maborosi,"('Akira Emoto', 'Gohki Kashiyama', 'Hidekazu Akai', 'Hiromi Ichida', 'Kikuko Hashimoto', 'Makiko Esumi', 'Midori Kiuchi', 'Minori Terada', 'Mutsuko Sakura', 'Naomi Watanabe', 'Ren Ôsugi', 'Shuichi Harada', 'Tadanobu Asano', 'Takashi Inoue', 'Takashi Naitô')",['Drama']
Top Hat,"('Gino Corrado', 'Lorinne Crawford', 'Phyllis Coghlan', 'Roy Brent', 'Tom Costello', 'Edward Everett Horton', 'Eric Blore', 'Erik Rhodes', 'Fred Astaire', 'Ginger Rogers', 'Helen Broderick', 'Lucille Ball', 'Robert Adair', 'Tito Blasco', 'Tom Brandon')","['Comedy', 'Romance', 'Musical']"
Apocalypse Now Redux,"('Albert Hall', 'Bo Byers', 'Dennis Hopper', 'Frederic Forrest', 'G.D. Spradlin', 'Harrison Ford', 'James Keane', 'Jerry Ziesmer', 'Kerry Rossall', 'Laurence Fishburne', 'Robert Duvall', 'Sam Bottoms', 'Scott Glenn', 'Marlon Brando', 'Martin Sheen')","['Action', 'Drama', 'War']"
Never Rarely Sometimes Always,"('Alana Barrett-Adkins', 'Alexander Carney', 'Amy Tribbey', 'April Szykeruk', 'Aurora Richards', 'Brett Puglisi', 'Brian Altemus', 'Carolina Espiro', 'Deepti Menon', 'Denise Pillott', 'Drew Seltzer', 'Guy A. Fortt', 'Jingjing Tian', 'John Ballinger Sr.', 'Kim Rios Lin', 'Lester Greene', 'Lizbeth MacKay', 'Luz Ozuna', 'Mia Dillon', 'Michael Erik', 'Rose Elizabeth Richards', 'Ryan Eggold', 'Sidney Flanigan', 'Amy Tribbey', 'Aurora Richards', 'Brett Puglisi', 'Carolina Espiro', 'Christian Clements', 'Daniel Buneta', 'David Buneta', 'Deepti Menon', 'Denise Pillott', 'Drew Seltzer', 'Eliazar Jimenez', 'Guy A. Fortt', 'Kim Rios Lin', 'Lester Greene', 'Rose Elizabeth Richards', 'Ryan Eggold', 'Sam Dugger', 'Sharon Van Etten', 'Sidney Flanigan', 'Talia Ryder', 'Théodore Pellerin')",['Drama']
Annie Hall,"('Carol Kane', 'Christopher Walken', 'Colleen Dewhurst', 'Donald Symington', 'Helen Ludlam', 'Janet Margolin', 'Joan Neuman', 'Jonathan Munk', 'Mordecai Lawner', 'Paul Simon', 'Ruth Volner', 'Shelley Duvall', 'Tony Roberts', 'Diane Keaton', 'Woody Allen')","['Drama', 'Comedy', 'Romance']"
The Lord of the Rings: The Fellowship of the Ring,"('Alan Howard', 'Billy Boyd', 'Cate Blanchett', 'Christopher Lee', 'Ian Holm', 'Ian McKellen', 'Lawrence Makoare', 'Mark Ferguson', 'Marton Csokas', 'Megan Edwards', 'Michael Elsworth', 'Noel Appleby', 'Orlando Bloom', 'Sala Baker', 'Sean Astin', 'Sean Bean', 'Andy Serkis', 'Elijah Wood')","['Action', 'Adventure', 'Fantasy']"
Quiz Show,"('Allan Rich', 'Christopher McDonald', 'David Paymer', 'Elizabeth Wilson', 'George Martin', 'Griffin Dunne', 'Hank Azaria', 'Johann Carlo', 'Michael Mantell', 'Mira Sorvino', 'Paul Guilfoyle', 'Paul Scofield', 'Rob Morrow', 'John Turturro', 'Ralph Fiennes')","['Drama', 'History']"
Leviathan,"('Aleksey Pavlov', 'Aleksey Rozin', 'Aleksey Serebryakov', 'Alim Bidnenko', 'Alla Emintseva', 'Andrey Belozerov', 'Anna Ukolova', 'Dmitriy Bykovskiy-Romashov', 'Elena Lyadova', 'Evgeniy Yakunin', 'Igor Litovkin', 'Igor Savochkin', 'Igor Sergeev', 'Irina Graba', 'Irina Ryndina', 'Irina Vilkova', 'Kristina Pakarina', 'Lesya Kudryashova', 'Natasha Garustovich', 'Olga Lapshina', 'Platon Kamenev', 'Roman Madyanov', 'Sergei Borisov', 'Sergey Bachurskiy', 'Sergey Pokhodaev', 'Valeriy Grishko', 'Vladimir Lupanov', 'Vladimir Vdovichenkov', 'Vyacheslav Gonchar', 'Yelena Lyadova', 'Aleksey Serebryakov', 'Roman Madyanov', 'Vladimir Vdovichenkov', 'Yelena Lyadova')",['Drama']
Werckmeister Harmonies,"('Alfréd Járai', 'Djoko Rosic', 'Enikö Börcsök', 'Éva Almássy Albert', 'Ferenc Kállai', 'György Barkó', 'Hanna Schygulla', 'Irén Szajki', 'János Derzsi', 'Lajos Dobák', 'Mihály Kormos', 'Putyi Horváth', 'Tamás Wichmann', 'Lars Rudolph', 'Peter Fitz')","['Sci-Fi', 'Drama', 'Mystery', 'Thriller', 'Horror', 'Crime']"
Toy Story 3,"('Blake Clark', 'Don Rickles', 'Emily Hahn', 'Estelle Harris', 'Joan Cusack', 'Jodi Benson', 'John Morris', 'John Ratzenberger', 'Laurie Metcalf', 'Michael Keaton', 'Ned Beatty', 'Teddy Newton', 'Wallace Shawn', 'Tim Allen', 'Tom Hanks')","['Adventure', 'Fantasy', 'Comedy', 'Animation', 'Family']"
This Is Spinal Tap,"('Bruno Kirby', 'Chazz Dominguez', 'Danny Kortchmar', 'David Kaff', 'Ed Begley Jr.', 'Harry Shearer', 'Jean Cromie', 'Kimberly Stringer', 'Patrick Maher', 'R.J. Parnell', 'Shari Hall', 'Tony Hendra', 'Chazz Dominguez', 'Christopher Guest', 'David Kaff', 'Harry Shearer', 'Kimberly Stringer', 'Michael McKean', 'R.J. Parnell', 'Rob Reiner', 'Shari Hall', 'Tony Hendra')","['Comedy', 'Music']"
The Look of Silence,(),['Documentary']
Tower,"('Aldo Ordoñez', 'Blair Jackson', 'Chris Doubek', 'Cole Bee Wilson', 'Cole Bresnehen', 'Jeremy Brown', 'John Fitch', 'Josephine McAdam', 'Karen Davidson', 'Louie Arnette', 'Monty Muir', 'Reece Everett Ryan', 'Séamus Bolivar-Ochoa', 'Timothy Lucas', 'Vicky Illk', 'Violett Beane')","['History', 'Crime', 'Animation', 'Documentary']"
The Rider,"('Alan Reddy', 'Allen Reddy', 'Brady Jandreau', 'Cat Clifford', 'Derrick Janis', 'James Calhoon', 'Jordon Slick Phelps', 'Kevin Hunter', 'Lane Scott', 'Leroy Pourier', 'Lilly Jandreau', 'Marshal Byrne', 'Steven DeWolfe', 'Tanner Langdeau', 'Terri Dawn Pourier', 'Tim Jandreau', 'Brady Jandreau', 'Cat Clifford', 'Derrick Janis', 'Greg Barber', 'James Calhoon', 'Lane Scott', 'Lilly Jandreau', 'Tanner Langdeau', 'Terri Dawn Pourier', 'Tim Jandreau')","['Adventure', 'Drama', 'Comedy', 'Romance', 'Western', 'Music']"
Moolaadé,"('Aminata Dao', 'Bakaramoto Sanogo', 'Balla Habib Dembélé', 'Cheick Oumar Maiga', 'Dominique Zeïda', 'Fatoumata Coulibaly', 'Gustave Sorgho', 'Joseph Traoré', 'Mah Compaoré', 'Maimouna Hélène Diarra', 'Modibo Sangaré', 'Ousmane Konaté', 'Rasmane Ouedraogo', 'Salimata Traoré', 'Théophile Sowié')",['Drama']
Atanarjuat: The Fast Runner,"('Abraham Ulayuruluk', 'Alex Uttak', 'Apayata Kotierk', 'Eric Nutarariaq', 'Eugene Ipkarnak', 'Lucy Tulugarjuk', 'Luke Taqqaugaq', 'Madeline Ivalu', 'Mary Qulitalik', 'Neeve Irngaut', 'Pakak Innuksuk', 'Pauloosie Qulitalik', 'Peter-Henry Arnatsiaq', 'Natar Ungalaaq', 'Sylvia Ivalu')","['Drama', 'Fantasy']"
Time,"('Fox Rich',)",['Documentary']
Gavagai,"('Amel Ibisevic', 'Ask Aygin Gaup', 'Edith Søli', 'Einar Andreas Søli', 'Essra Berge', 'Halvor Sandnes', 'Hellek Sandnes', 'Ina Nena Schick', 'Joakim Nango', 'Jostein A.B. Sandvik', 'Karin Mustvedt-Plüs', 'Kim Robin Svartdal', 'Marie Helga Helgetveit', 'Marja Susanne Sipelä Solvang', 'Miriam Berge', 'Mona Eiris', 'Rune Samuelsen', 'Susan S. Solvang', 'Thomas Tufte', 'Tore Dale', 'Amel Ibisevic', 'Andreas Lust', 'Anni-Kristiina Juuso', 'Ask Aygin Gaup', 'Edith Søli', 'Einar Andreas Søli', 'Essra Berge', 'Halvor Sandnes', 'Hellek Sandnes', 'Ina Nena Schick', 'Joakim Nango', 'Jostein A.B. Sandvik', 'Karin Mustvedt-Plüs', 'Kim Robin Svartdal', 'Marie Helga Helgetveit', 'Marja Susanne Sipelä Solvang', 'Mikkel Gaup', 'Miriam Berge', 'Mona Eiris', 'Rune Samuelsen', 'Susan S. Solvang', 'Thomas Tufte', 'Tore Dale')",['Drama']
The Man Who Would Be King,"('Graham Acres', 'Nadia Atbib', 'Shakira Caine', 'The Blue Dancers of Goulamine', 'Yvonne Ocampo', 'Albert Moses', 'Christopher Plummer', 'Doghmi Larbi', 'Jack May', 'Karroom Ben Bouih', 'Michael Caine', 'Mohammad Shamsi', 'Paul Antrim', 'Saeed Jaffrey', 'Sean Connery')",['Adventure']
The Killing,"('Dorothy Adams', 'Herbert Ellis', 'Jay Adler', 'Kola Kwariani', 'Tito Vuolo', 'Coleen Gray', 'Elisha Cook Jr.', 'James Edwards', 'Jay C. Flippen', 'Joe Sawyer', 'Marie Windsor', 'Sterling Hayden', 'Ted de Corsia', 'Timothy Carey', 'Vince Edwards')","['Drama', 'Thriller', 'Crime', 'Film-Noir']"
Swing Time,"('Bill Brande', 'Jack Chefe', 'Martin Cichy', 'Ralph Brooks', 'Ralph Byrd', 'Betty Furness', 'Eric Blore', 'Fred Astaire', 'Georges Metaxa', 'Ginger Rogers', 'Harry Bernard', 'Harry Bowen', 'Helen Broderick', 'Victor Moore', 'William Bailey')","['Comedy', 'Romance', 'Musical']"
Breaking Away,"('Amy Wright', 'Barbara Barrie', 'Daniel Stern', 'David K. Blase', 'Hart Bochner', 'Jackie Earle Haley', 'Jennifer K. Mickel', 'John Ashton', 'Lisa Shure', 'P.J. Soles', 'Paul Dooley', 'Peter Maloney', 'Robyn Douglass', 'Dennis Christopher', 'Dennis Quaid')","['Drama', 'Sport', 'Comedy', 'Romance']"
The Souvenir,"('Alice McMillan', 'Barbara Peirson', 'Chyna Terrelonge-Vaughan', 'Crispin Buxton', 'Dick Fontaine', 'Fabrizio Matteini', 'Hannah Ashby Ward', 'Jack W. Gregory', 'Jake Phillips Head', 'James Barrett', 'James Dodds', 'James Spencer Ashworth', 'Janet Etuk', 'Jaz Dalrymple', 'Leonardo Bozzo', 'Richard Tree', 'Steve Gough', 'Alice McMillan', 'Chyna Terrelonge-Vaughan', 'Fabrizio Matteini', 'Frankie Wilson', 'Hannah Ashby Ward', 'Honor Swinton-Byrne', 'Jack McMullen', 'Jake Phillips Head', 'James Spencer Ashworth', 'Janet Etuk', 'Jaygann Ayeh', 'Neil Young', 'Richard Ayoade', 'Tilda Swinton', 'Tom Burke', 'Tosin Cole')","['Drama', 'Mystery', 'Romance']"
After Life,"('Arata', 'Erika Oda', 'Hisako Hara', 'Kazuko Shirakawa', 'Kei Tani', 'Kôtarô Shiga', 'Kyôko Kagawa', 'Natsuo Ishidô', 'Sadao Abe', 'Sayaka Yoshino', 'Susumu Terajima', 'Takashi Naitô', 'Taketoshi Naitô', 'Tôru Yuri', 'Yûsuke Iseya')","['Drama', 'Fantasy']"
Son of Saul,"('Amitai Kedar', 'Attila Fritz', 'Balázs Farkas', 'Björn Freiberg', 'Christian Harting', 'Eszter Csépai', 'Gergö Farkas', 'Géza Röhrig', 'Jerzy Walczak', 'Juli Jakab', 'Kamil Dobrowolski', 'Levente Molnár', 'Levente Orbán', 'Marcin Czarnik', 'Mendy Cahan', 'Mihály Kormos', 'Sándor Zsótér', 'Todd Charmont', 'Urs Rechn', 'Uwe Lauer', 'Géza Röhrig', 'Levente Molnár', 'Todd Charmont', 'Urs Rechn')","['Drama', 'History', 'Thriller', 'Horror', 'War']"
Love Affair,"('Bess Flowers', 'Carol Hughes', 'Dell Henderson', 'Joe Gilbert', 'Leyland Hodgson', 'Astrid Allwyn', 'Charles Boyer', 'Ferike Boros', 'Irene Dunne', 'Lee Bowman', 'Maria Ouspenskaya', 'Mary Bovard', 'Maurice Moscovitch', 'Scotty Beckett', 'Tom Dugan')","['Drama', 'Comedy', 'Romance']"
Frankenstein,"('Arletta Duncan', 'Francis Ford', 'Jack Curtis', 'Mae Bruce', 'William Dyer', 'Boris Karloff', 'Colin Clive', 'Dwight Frye', 'Edward Van Sloan', 'Frederick Kerr', 'John Boles', 'Lionel Belmore', 'Mae Clarke', 'Marilyn Harris', 'Ted Billings')","['Sci-Fi', 'Drama', 'Horror']"
8½,"('Bruno Agostini', 'Cesarino Miceli Picardi', 'Jean Rougeul', 'Mario Conocchia', 'Mario Pisu', 'Anouk Aimée', 'Barbara Steele', 'Caterina Boratto', 'Claudia Cardinale', 'Eddra Gale', 'Guido Alberti', 'Madeleine Lebeau', 'Marcello Mastroianni', 'Rossella Falk', 'Sandra Milo')",['Drama']
Little Women,"('Abby Quinn', 'Adam Desautels', 'Brian Daniels', 'Chris Cooper', 'Domenic Arduino', 'Emily Edström', 'Eowyn Young', 'Hadley Robinson', 'Jamie Ghazarian', 'Jayne Houdyshell', 'Jen Nikolaisen', 'Kayla Caulfield', 'Ken Holmes', 'Lilly Englert', 'Louis Garrel', 'Maryann Plunkett', 'Mason Alban', 'Meryl Streep', 'Paul Tawczynski', 'Rafael Silva', 'Sasha Frolova', 'Stevie Costa', 'Tracy Letts', 'Abby Quinn', 'Bob Odenkirk', 'Chris Cooper', 'Eliza Scanlen', 'Emma Watson', 'Florence Pugh', 'James Norton', 'Jayne Houdyshell', 'Laura Dern', 'Louis Garrel', 'Meryl Streep', 'Saoirse Ronan', 'Timothée Chalamet', 'Tracy Letts')","['Drama', 'Romance']"
E.T. The Extra-Terrestrial,"('C. Thomas Howell', 'David Berkson', ""David M. O'Dell"", 'Dee Wallace', 'Erika Eleniak', 'Frank Toth', 'K.C. Martel', 'Michael Darrell', 'Richard Swingler', 'Robert Barton', 'Robert MacNaughton', 'Sean Frye', 'Dee Wallace', 'Drew Barrymore', 'Erika Eleniak', 'Henry Thomas', 'Peter Coyote')","['Adventure', 'Sci-Fi', 'Drama', 'Fantasy', 'Family']"
The African Queen,"('John von Kotze', 'Errol John', 'Gerald Onn', 'Humphrey Bogart', 'Katharine Hepburn', 'Peter Bull', 'Peter Swanwick', 'Richard Marner', 'Robert Morley', 'Theodore Bikel', 'Walter Gotell')","['Adventure', 'Drama', 'Romance', 'War']"
The Triplets of Belleville,"('Béatrice Bonifassi', 'Charles Linton', 'Lina Boudreau', 'Mari-Lou Gauthier', 'Jean-Claude Donda', 'Michel Robin', 'Michèle Caucheteux', 'Monica Viegas')","['Adventure', 'Comedy', 'Music', 'Animation']"
The Queen,"('Alex Jennings', 'Amanda Hadingue', 'Dolina MacLennan', 'Douglas Reith', ""Gray O'Brien"", 'John McGlynn', 'Joyce Henderson', 'Lola Peploe', 'Pat Laffan', 'Robin Soans', 'Roger Allam', 'Sylvia Syms', 'Tim McMullan', 'Helen Mirren', 'James Cromwell')","['Biography', 'Drama']"
All Quiet on the Western Front,"('Beryl Mercer', 'G. Pat Collins', 'Harold Goodwin', 'Richard Alexander', 'Slim Summerville', 'Arnold Lucy', 'Ben Alexander', 'John Wray', 'Lew Ayres', 'Louis Wolheim', 'Owen Davis Jr.', 'Russell Gleason', 'Scott Kolk', 'Walter Rogers', 'William Bakewell')","['Drama', 'War']"
A Bread Factory Part Two: Walk With Me a While,"('Daniel Borak', 'Eugene Brell', 'George Young', 'Jacqui Anders', 'Jake Brinskele', 'Keaton Nigel Cooke', 'Leo Heller', 'Logan Smith', 'Martina Arroyo', 'Noah Matthews', 'Anni Krueger', 'Brian Murray', 'Chris Conroy', 'Elisabeth Henry-Macari', 'George Young', ""Glynnis O'Connor"", 'James Chen', 'James Marsters', 'Janet Hsieh', 'Jessica Pimentel', 'Nana Visitor', 'Philip Kerr', 'Trevor St. John', 'Tyne Daly', 'Zachary Sayle')","['Drama', 'Comedy']"
The Ladykillers,"('Fred Griffiths', 'Harold Goodwin', 'Hélène Burls', 'Kenneth Connor', 'Michael Corcoran', 'Alec Guinness', 'Cecil Parker', 'Danny Green', 'Frankie Howerd', 'Herbert Lom', 'Jack Warner', 'Katie Johnson', 'Madge Brindley', 'Peter Sellers', 'Philip Stainton')","['Comedy', 'Crime']"
